"Sku Id","Title","Rack Space","Good","Bad","Picked"
"10940-Navy-4XL","Navy Net Regular Fit Dress with Curved Hemline and With Lining","J11","1","0",""
"12033-Black-4XL","Black Georgette Loose Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"12057-Black-L","Black Georgette Western, Fusion, Relaxed Dress with Flared Hemline and With Lining","14-N","1","0",""
"12057-Black-S","Black Georgette Western, Fusion, Relaxed Dress with Flared Hemline and With Lining","35-J","1","0",""
"12085-Black-3XL","Black Georgette Loose Fit Shrug with Hemline","Virtual","1","0",""
"13018-Navy-XL","Navy Crepe Regular Fit Top with Curved Hemline","41-G","1","0",""
"13043-Magenta-2XL","Magenta Georgette Regular Fit Dress with Curved Hemline and With Lining","39-B","1","0",""
"13068-Pink-S","Pink Georgette Regular Fit Dress with Curved Hemline and With Lining","44-H","1","0",""
"13070-Pink-2XL","Pink Silk Regular Fit Dress with Curved Hemline and With Lining","25-C","1","0",""
"15019-Purple-3XL","Purple Georgette Regular Fit Top with Curved Hemline and With Lining","Virtual","1","0",""
"15068-Beige-XS","Beige Georgette Regular Fit Shirt with Hi-Low Hemline","Virtual","1","0",""
"15078-Navy-L","Navy Georgette Regular Fit Dress with Curved Hemline and With Lining","29-I","1","0",""
"16001-Black-5XL","Black Crepe Relaxed Fit Shirt with Straight Hemline","Virtual","1","0",""
"16008-Black-3XL","Black Lycra Slim Fit Skirt with Straight Hemline","Assign Rack","1","0",""
"16008-Black-3XL","Black Lycra Slim Fit Skirt with Straight Hemline","28-D","1","0",""
"16009-Red-4XL","Red Georgette Regular Fit Shrug with Asymmetric Hemline","Virtual","1","0",""
"16017-Black-S","Black Georgette Regular Fit Top with Hi-Low Hemline and With Lining","36-J","1","0",""
"16020-Lavender-XL","Lavender Georgette Regular Fit Top with Hi-Low Hemline and With Lining","Virtual","1","0",""
"16045-Red-3XL","Red Lycra Loose Fit Skirt with Straight Hemline","40-F","1","0",""
"16055-Magenta-3XL","Magenta Crepe Regular Fit Shirt with Curved Hemline","Assign Rack","1","0",""
"16076-Magenta-2XL","Magenta Georgette Regular Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"16076-Magenta-4XL","Magenta Georgette Regular Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"16089-Black-2XL","Black Lycra Slim Fit Dress with Flared Hemline","Default","1","0",""
"16089-Black-4XL","Black Lycra Slim Fit Dress with Flared Hemline","Assign Rack","1","0",""
"17024-Gray-3XL","Gray Crepe Regular Fit Shirt with Curved Hemline","Assign Rack","1","0",""
"17075-Red-4XL","Red Georgette Regular Fit Dress with Curved Hemline and With Lining","Default","1","0",""
"18042-Green-3XL","Green Lycra Slim Fit Dress with Flared Hemline","Virtual","1","0",""
"18055-Wine-XL","Wine Silk Slim Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"18059-Navy-2XL","Navy Georgette Regular Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"18060-Maroon-2XL","Maroon Silk Regular Fit Dress with Curved Hemline and With Lining","26-B","1","0",""
"18069-Rust-L","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"18069-Rust-XL","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"18087-Green-S","Green Crepe Loose Fit Shirt with Curved Hemline","Virtual","1","0",""
"18088-Green-S","Green Crepe Loose Fit Shorts with Curved Hemline","9-D","1","0",""
"18091-Navy-2XL","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"18091-Navy-3XL","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","2","0",""
"18091-Navy-L","Navy Georgette Slim Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"19002-Black-2XL","Black Moss Crepe Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"19004-Pink-2XL","Pink Lycra Regular Fit Dress with Curved Hemline","Assign Rack","1","0",""
"19048-Gray-3XL","Gray Moss Crepe Relaxed Fit Top with Curved Hemline","12-D","1","0",""
"19050-Black-3XL","Black Crepe Relaxed Fit Top with Curved Hemline","Virtual","1","0",""
"19052-Navy-4XL","Navy Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19053-Black-4XL","Black Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19073-Black-4XL","Black Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19084-Black-4XL","Black Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19124-Black-4XL","Black Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19128-Green-3XL","Green Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19130-Black-M","Black Crepe Regular Fit Shirt with Curved Hemline","12-D","1","0",""
"19131-Wine-3XL","Wine Crepe Regular Fit Shirt with Curved Hemline","11-B","1","0",""
"19150-Red-5XL","Red Crepe Regular Fit Top with Curved Hemline","44-E","1","0",""
"19165-Beige-2XL","Beige Fleece Relaxed Fit Coat with Straight Hemline","Default","1","0",""
"19173-Orange-XL","Orange Georgette Fit & Flare Dress with Flared Hemline and With Lining","12-G","1","0",""
"19179-Black-3XL","Black Crepe Slim Fit Dress with Straight Hemline","25-I","1","0",""
"19205-Navy-L","Navy Silk Loose Fit Shirt with Asymmetric Hemline","Default","1","0",""
"19222-Black-4XL","Black Lycra Bodycon Dress with Straight Hemline","Virtual","1","0",""
"19227-Black-5XL","Black Crepe Regular Fit Shirt with Curved Hemline","16-I","1","0",""
