"Sku Id","Title","Rack Space","Good","Bad","Picked"
"11121-Black-3XL","Black Crepe Regular Fit Top with Straight Hemline","Virtual","2","0",""
"11121-Black-XL","Black Crepe Regular Fit Top with Straight Hemline","Virtual","3","0",""
"11157-Maroon-3XL","Maroon Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"11157-Maroon-L","Maroon Crepe Regular Fit Top with Curved Hemline","Assign Rack","1","0",""
"12095-Black-5XL","Black Moss Crepe Slim Fit Dress with Curved Hemline","Virtual","1","0",""
"12095-Black-S","Black Moss Crepe Slim Fit Dress with Curved Hemline","22-G","1","0",""
"13000-Maroon-M","Maroon Satin Slim Fit Dress with Flared Hemline","Virtual","1","0",""
"13013-Burgundy-L","Burgundy Crepe Regular Fit, Western, Relaxed Dress with Curved Hemline","32-C","1","0",""
"13056-Magenta-XL","Magenta Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"13071-Wine-2XL","Wine Georgette Regular Fit Dress with Curved Hemline and With Lining","31-B","1","0",""
"13071-Wine-XS","Wine Georgette Regular Fit Dress with Curved Hemline and With Lining","31-B","1","0",""
"14072-Purple-L","Purple Georgette Regular Fit Top with Curved Hemline","Virtual","1","0",""
"14075-Black-2XL","Black Georgette Relaxed Fit Dress with Straight Hemline and With Lining","Virtual","1","0",""
"15040-Lavender-3XL","Lavender Swiss Dott Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"15073-Multi-L","Multi Georgette Regular Fit Shirt with Curved Hemline","38-A","1","0",""
"15094-White-5XL","White Georgette Regular Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
"16004-Caramel-2XL","Caramel French Crepe Regular Fit Shirt with Curved Hemline","Virtual","2","0",""
"16004-Caramel-L","Caramel French Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"16027-Ivory-2XL","Ivory Fleece Regular Fit Coat with Straight Hemline","2-F","1","0",""
"16056-Maroon-3XL","Maroon Silk Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"16056-Maroon-4XL","Maroon Silk Regular Fit Dress with Curved Hemline and With Lining","Virtual","1","0",""
"16087-Black-XL","Black Lycra Regular Fit Dress with Curved Hemline","Virtual","1","0",""
"17071-Magenta-M","Magenta Fleece Regular Fit Coat with Straight Hemline","3-D","1","0",""
"17084-White-3XL","White Cotton Loose Fit Dress with Flounce Hemline","27-G","1","0",""
"17085-Black-3XL","Black Cotton Loose Fit Dress with Flounce Hemline","43-A","1","0",""
"18069-Rust-3XL","Rust Georgette Slim Fit Dress with Flared Hemline and With Lining","Virtual","1","0",""
